127.0.0.1 - - [15/Nov/2019:15:29:41 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/jsp/index.jsp HTTP/1.1" 200 14972
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/css/meanmenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/css/pe-icon-7-stroke.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/venobox/venobox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/lib/css/nivo-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/lib/css/preview.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/img/logo.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/js/vendor/modernizr-2.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/js/vendor/jquery-1.12.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/venobox/venobox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/js/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/js/jquery.countdown.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/js/jquery.counterup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/js/jquery.meanmenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/js/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/js/jquery.scrollUp.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/js/plugins.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/lib/js/jquery.nivo.slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/lib/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/img/slider/books.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/fonts/Flaticon.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:42 +0900] "GET /bookstore/jsp/img/favicon.ico HTTP/1.1" 404 1156
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:57 +0900] "GET /bookstore/BookController HTTP/1.1" 200 48558
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:57 +0900] "GET /bookstore/img/featured/%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%EA%B5%90%EA%B3%BC%EC%84%9C.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:57 +0900] "GET /bookstore/img/featured/%EC%9E%90%EB%B0%94%EC%9D%98%20%EC%A0%95%EC%84%9D.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:57 +0900] "GET /bookstore/img/featured/%EC%9E%90%EB%B0%94%EC%84%B1%EB%8A%A5%20%ED%8A%9C%EB%8B%9D%20%EC%9D%B4%EC%95%BC%EA%B8%B0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:57 +0900] "GET /bookstore/img/featured/%EC%BD%94%ED%8B%80%EB%A6%B0%20200%EC%A0%9C.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:57 +0900] "GET /bookstore/img/featured/%ED%98%BC%EA%B3%B5%EC%94%A8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:57 +0900] "GET /bookstore/img/featured/%EC%9E%90%EB%B0%94%EC%9D%98%20%EC%A0%95%EC%84%9D31.png HTTP/1.1" 404 1204
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:57 +0900] "GET /bookstore/img/featured/%EC%83%9D%ED%99%9C%EC%BD%94%EB%94%A9!%20HTML+CSS+%EC%9E%90%EB%B0%94%EC%8A%A4%ED%81%AC%EB%A6%BD%ED%8A%B8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:29:57 +0900] "GET /bookstore/img/featured/%EC%9E%A5%EB%AF%B8.jpg HTTP/1.1" 404 1172
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:30:20 +0900] "GET /bookstore/contact.do HTTP/1.1" 200 15427
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:30:21 +0900] "GET /bookstore/img/map-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:30:21 +0900] "GET /bookstore/BookController HTTP/1.1" 200 48558
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:30:21 +0900] "GET /bookstore/img/featured/%EC%9E%A5%EB%AF%B8.jpg HTTP/1.1" 404 1172
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:30:21 +0900] "GET /bookstore/img/featured/%EC%9E%90%EB%B0%94%EC%9D%98%20%EC%A0%95%EC%84%9D31.png HTTP/1.1" 404 1204
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:30:22 +0900] "GET /bookstore/LoginController HTTP/1.1" 200 15412
0:0:0:0:0:0:0:1 - - [15/Nov/2019:15:30:25 +0900] "POST /bookstore/CreateidController HTTP/1.1" 200 10204
